Title,Drive,Price,Link,Latitude,Longitide,OneBOneB,TwoBOneB,TwoBTwoB
Centennial Village,15,Mid-High,http://www.centennialvillageapts.com,35.9987,-84.1933,y,,y
The Preserve,20,Mid-High,http://thepreserveathardinvalley.com,35.9522,-84.1668,y,,y
LondonTown,30,Mid-Low,http://bacorealtycorp.com/816/londontown-apartments-apartments-for-rent/knoxville/37909,35.9385,-84.0117,y,y,
Marble Alley,35,High,http://www.marblealley-lofts.com,35.9672,-83.9176,y,,y
Tara Hills,20,Mid-Low,https://tarahills.prospectportal.com,36.0186,-84.2292,y,y,
The Manhatten,15,Low,https://www.apartments.com/the-manhattan-oak-ridge-tn/90ts467,36.0123,-84.2515,y,y,
Bristol Park,20,Mid-High,http://www.bristolparkoakridge.com,36.01804,-84.2399,y,,y
Rolling Hills,20,Mid-Low,http://www.rollinghillsoakridge.com,36.00621,-84.2745,y,y,
Whist Court,35,Mid-High,"https://www.google.com/search?rlz=1C1GGRV_enUS750US750&q=whist+court+apartments&npsic=0&rflfq=1&rlha=0&rllag=35968334,-83922948,240&tbm=lcl&ved=0ahUKEwj1ybzEsKfWAhXLhFQKHbZQAv0QtgMIRg&tbs=lrf:!2m1!1e2!3sIAE,lf:1,lf_ui:2&rldoc=1#rlfi=hd:;si:14674372236897090752;mv:!1m3!1d2354.5712874045985!2d-83.922948!3d35.968334299999995!2m3!1f0!2f0!3f0!3m2!1i13!2i140!4f13.1",35.9705,-83.9227,y,,y
Sequoyah Village,35,Mid-High,https://www.sequoyahvillage.com,35.93171,-83.9643,y,y,y
JFG Building,35,Mid-High,https://jfgflats.com,35.96941,-83.9196,y,y,y
Sterchi Loft,35,Mid-High,https://www.terminusrealestate.com,35.96847,-83.92,y,y,
Lovell Crossing,25,Mid-High,http://lovellcrossing.com,35.9341,-84.1507,y,,y
Brendon Park,25,Mid-Low,http://www.brendonpark.com,35.92578,-84.0838,y,y,
Maplehurst,35,Mid-High,http://maplehurstparkapts.com,35.95844,-83.9214,y,y,y
Amberleigh Bluff,25,Mid-High,http://www.livewellamberleighbluff.com,35.90384,-84.0909,y,y,y
The Landings,35,Mid-High,http://www.landingsknoxville.com,35.96476,-83.9062,y,,y
414 Flats,30,High,http://www.414flats.com,35.94345,-83.984,y,y,y
Mountain Brook,30,Mid-High,http://mountainbrook-knoxville.com,35.95153,-83.9746,,,y
811 Apartments,35,High,https://www.live811eastdowntown.com,35.96678,-83.9063,y,,y
Crowne Point,35,High,http://crownecampuspointe.com/,35.958488,-83.942395,y,,y
The Tower at Morgan Hill,35,Mid-High,http://toweratmorganhill.com,35.952746,-83.944482,y,y,
The Knox (Summer),35,Summer,http://livetheknox.com,35.959649,-83.930202,,,
The Standard (Summer),35,Summer,https://www.thestandardatknoxville.com,35.95702,-83.933028,,,
University Park (Summer),35,Summer,https://www.universityparkknoxville.com,35.950138,-83.906364,,,
The Commons on Bridge,35,Summer,http://www.thecommonsonbridge.com,35.9624,83.926801,,,
The Commons Knoxville,35,Summer,http://www.commonsatknoxville.com,35.961747,-83.93477,,,
